//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-15-2025
//--  Time: 20:38
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 4700 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 44864 Ohms 
//--    Temperature2: 0.0(C), 	Resistance 2: 5784 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 186.6 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
783	-4.57	-46 	3.823
784	-4.77	-48 	3.828
785	-4.96	-50 	3.833
786	-5.15	-52 	3.838
787	-5.34	-53 	3.843
788	-5.54	-55 	3.848
789	-5.73	-57 	3.853
790	-5.93	-59 	3.857
791	-6.12	-61 	3.862
792	-6.32	-63 	3.867
793	-6.51	-65 	3.872
794	-6.71	-67 	3.877
795	-6.91	-69 	3.882
796	-7.10	-71 	3.887
797	-7.30	-73 	3.892
798	-7.50	-75 	3.896
799	-7.70	-77 	3.901
800	-7.90	-79 	3.906
801	-8.10	-81 	3.911
802	-8.30	-83 	3.916
803	-8.50	-85 	3.921
804	-8.70	-87 	3.926
805	-8.90	-89 	3.931
806	-9.10	-91 	3.936
807	-9.31	-93 	3.940
808	-9.51	-95 	3.945
809	-9.71	-97 	3.950
810	-9.92	-99 	3.955
811	-10.12	-101 	3.960
812	-10.33	-103 	3.965
813	-10.54	-105 	3.970
814	-10.74	-107 	3.975
815	-10.95	-110 	3.979
816	-11.16	-112 	3.984
817	-11.37	-114 	3.989
818	-11.58	-116 	3.994
819	-11.79	-118 	3.999
820	-12.00	-120 	4.004
821	-12.21	-122 	4.009
822	-12.42	-124 	4.014
823	-12.63	-126 	4.019
824	-12.84	-128 	4.023
825	-13.06	-131 	4.028
826	-13.27	-133 	4.033
827	-13.49	-135 	4.038
828	-13.70	-137 	4.043
829	-13.92	-139 	4.048
830	-14.14	-141 	4.053
831	-14.35	-144 	4.058
832	-14.57	-146 	4.063
833	-14.79	-148 	4.067
834	-15.01	-150 	4.072
835	-15.23	-152 	4.077
836	-15.45	-155 	4.082
837	-15.67	-157 	4.087
838	-15.90	-159 	4.092
839	-16.12	-161 	4.097
840	-16.34	-163 	4.102
841	-16.57	-166 	4.106
842	-16.80	-168 	4.111
843	-17.02	-170 	4.116
844	-17.25	-172 	4.121
845	-17.48	-175 	4.126
846	-17.71	-177 	4.131
847	-17.94	-179 	4.136
848	-18.17	-182 	4.141
849	-18.40	-184 	4.146
850	-18.63	-186 	4.150
851	-18.86	-189 	4.155
852	-19.10	-191 	4.160
853	-19.33	-193 	4.165
854	-19.57	-196 	4.170
855	-19.81	-198 	4.175
856	-20.04	-200 	4.180
857	-20.28	-203 	4.185
858	-20.52	-205 	4.189
859	-20.76	-208 	4.194
860	-21.00	-210 	4.199
861	-21.25	-212 	4.204
862	-21.49	-215 	4.209
863	-21.74	-217 	4.214
864	-21.98	-220 	4.219
